allele,Raw,Post-Phase 1
BOLA102301,202,202
BOLA104201,2,2
BOLA106701,1,1
BOLA200801,12,12
BOLA201201,56,56
BOLA201801,1,1
BOLA202201,1,1
BOLA203001,1,1
BOLA204501,1,1
BOLA204601,3,3
BOLA205601,1,1
BOLA205701,1,1
BOLA300101,9,9
BOLA300201,33,33
BOLA301001,84,84
BOLA601301,6835,1000
BOLA601302,1,1
BOLA601401,2,2
BOLA601501,1,1
BOLA604101,40,40
DLA8803401,316,316
DLA8850101,1654,1000
DLA8850801,49,49
EQCA100101,23,23
EQCA1600101,38,38
GOGOB0101,6,6
H2DB,4434,1000
H2DD,107,107
H2DK,6,6
H2DQ,7548,1000
H2KB,6344,1000
H2KD,1384,1000
H2KK,199,199
H2KQ,404,404
H2LD,181,181
H2LQ,3,3
HLAA01010101,19922,1000
HLAA01020101,81,81
HLAA01030101,56,56
HLAA0106,6,6
HLAA01090101,2,2
HLAA0125,456,456
HLAA0138,2,2
HLAA0201,100684,1000
HLAA0202,11681,1000
HLAA0203,6357,1000
HLAA0204,2753,1000
HLAA0205,12706,1000
HLAA0206,13666,1000
HLAA0207,4119,1000
HLAA02090101,6,6
HLAA0210,4,4
HLAA0211,2804,1000
HLAA0212,306,306
HLAA0213,3,3
HLAA0214,286,286
HLAA0216,298,298
HLAA0217,692,692
HLAA0219,336,336
HLAA0220,1572,1000
HLAA02220101,268,268
HLAA022401,5,5
HLAA0227,171,171
HLAA0229,54,54
HLAA023001,1355,1000
HLAA023501,6,6
HLAA0238,335,335
HLAA02402,1,1
HLAA0250,85,85
HLAA0252,1373,1000
HLAA0267,98,98
HLAA03010102,44884,1000
HLAA0302,673,673
HLAA0312,328,328
HLAA0319,14,14
HLAA0325,1627,1000
HLAA11010101,39089,1000
HLAA1102,5443,1000
HLAA11030102,150,150
HLAA1104,132,132
HLAA1110,174,174
HLAA2301,7397,1000
HLAA2304,17,17
HLAA2305,41,41
HLAA24020101,30482,1000
HLAA2403,1204,1000
HLAA2404,2,2
HLAA2406,359,359
HLAA24070101,1348,1000
HLAA24100101,10,10
HLAA241302,260,260
HLAA24170101,11,11
HLAA24200101,12,12
HLAA2423,56,56
HLAA2425,1,1
HLAA2431,32,32
HLAA2501,3814,1000
HLAA2601,6611,1000
HLAA2602,260,260
HLAA26030101,164,164
HLAA26080102,116,116
HLAA2614,3,3
HLAA2615,7,7
HLAA29010101,841,841
HLAA29020101,13801,1000
HLAA2906,372,372
HLAA29100,3107,1000
HLAA2911,1,1
HLAA30010101,10333,1000
HLAA30020101,5765,1000
HLAA3003,13,13
HLAA30040101,225,225
HLAA3014,12,12
HLAA3101,12539,1000
HLAA310201,214,214
HLAA3106,2,2
HLAA3108,1,1
HLAA32010101,8535,1000
HLAA3207,76,76
HLAA3213,2,2
HLAA3215,59,59
HLAA3301,3890,1000
HLAA3303,12072,1000
HLAA3305,24,24
HLAA34010101,1901,1000
HLAA34020101,4054,1000
HLAA3405,1,1
HLAA36010101,2236,1000
HLAA3603,4,4
HLAA6601,1687,1000
HLAA66020101,67,67
HLAA66030101,4,4
HLAA68010101,22696,1000
HLAA68020101,10557,1000
HLAA68030101,178,178
HLAA6805,2,2
HLAA6806,12,12
HLAA68080101,6,6
HLAA681202,7,7
HLAA6823,71,71
HLAA6824,8,8
HLAA6826,79,79
HLAA6901,8392,1000
HLAA74010101,2293,1000
HLAA7409,11,11
HLAA7411,4,4
HLAA80010101,136,136
HLAB07020101,27602,1000
HLAB070401,1739,1000
HLAB07050101,1099,1000
HLAB07060101,1384,1000
HLAB070901,8,8
HLAB071001,37,37
HLAB0712,23,23
HLAB072201,17,17
HLAB08010101,37427,1000
HLAB0802,39,39
HLAB0803,18,18
HLAB0809,12,12
HLAB13010101,3193,1000
HLAB1302,7330,1000
HLAB14010101,186,186
HLAB14020101,6012,1000
HLAB1403,75,75
HLAB15010101,45759,1000
HLAB15020101,3116,1000
HLAB1503,12077,1000
HLAB15040101,7,7
HLAB15050101,49,49
HLAB15070101,574,574
HLAB15080101,44,44
HLAB150901,58,58
HLAB15100101,1620,1000
HLAB15112,2183,1000
HLAB15121,464,464
HLAB1512501,1013,1000
HLAB15135,685,685
HLAB15160101,508,508
HLAB15170102,2678,1000
HLAB1518,2333,1000
HLAB15186,746,746
HLAB1520,45,45
HLAB15211,4,4
HLAB152401,67,67
HLAB15250,646,646
HLAB15273,21,21
HLAB15302,3,3
HLAB15312,41,41
HLAB15346,54,54
HLAB15359,302,302
HLAB1537,3,3
HLAB15396,32,32
HLAB1542,109,109
HLAB1550,159,159
HLAB1553,10,10
HLAB1568,9,9
HLAB15730102,3,3
HLAB1580,1,1
HLAB18010101,27163,1000
HLAB18030101,1014,1000
HLAB180401,13,13
HLAB18050102,664,664
HLAB1806,4,4
HLAB180701,4,4
HLAB1811,1,1
HLAB1825,3,3
HLAB2701,3713,1000
HLAB27020101,3432,1000
HLAB2703,1050,1000
HLAB270401,2797,1000
HLAB27050201,45507,1000
HLAB27060101,1254,1000
HLAB270701,2155,1000
HLAB2708,2147,1000
HLAB2709,6191,1000
HLAB2710,3,3
HLAB2714,1,1
HLAB2720,86,86
HLAB35010102,21840,1000
HLAB35020101,1715,1000
HLAB35030101,6269,1000
HLAB35040101,38,38
HLAB35050101,502,502
HLAB3506,7,7
HLAB3507,1819,1000
HLAB35080101,4148,1000
HLAB35090101,44,44
HLAB351101,16,16
HLAB35120101,29,29
HLAB35134,11,11
HLAB35149,3,3
HLAB35172,84,84
HLAB35220,42,42
HLAB3523,4,4
HLAB35309,258,258
HLAB35432,11,11
HLAB3577,22,22
HLAB37010101,7157,1000
HLAB38010101,7210,1000
HLAB38020101,2552,1000
HLAB3805,30,30
HLAB39010101,7883,1000
HLAB39020101,27,27
HLAB39050101,29,29
HLAB39060101,3614,1000
HLAB3908,5,5
HLAB39090101,80,80
HLAB391001,50,50
HLAB3911,4,4
HLAB39123,1,1
HLAB39136,27,27
HLAB39240101,977,977
HLAB39310101,12,12
HLAB400101,11734,1000
HLAB40020101,19678,1000
HLAB40030101,152,152
HLAB40040101,35,35
HLAB40050101,1474,1000
HLAB40060101,4740,1000
HLAB40104,2,2
HLAB40120,4,4
HLAB4013,53,53
HLAB4021,1,1
HLAB4036,10,10
HLAB4040,7,7
HLAB41010101,2304,1000
HLAB41020101,1189,1000
HLAB410301,116,116
HLAB4104,62,62
HLAB4105,45,45
HLAB4106,13,13
HLAB42010101,4601,1000
HLAB4202,124,124
HLAB44020101,15832,1000
HLAB44030101,11250,1000
HLAB4404,33,33
HLAB44050101,462,462
HLAB4406,12,12
HLAB4407,332,332
HLAB4408,92,92
HLAB4409,295,295
HLAB4410,24,24
HLAB4413,14,14
HLAB4422,3,3
HLAB44275,207,207
HLAB442801,143,143
HLAB45010101,5709,1000
HLAB4506,4,4
HLAB46010101,2689,1000
HLAB47010102,283,283
HLAB48010101,106,106
HLAB480201,12,12
HLAB48030101,5,5
HLAB4805,5,5
HLAB49010101,7700,1000
HLAB50010101,5619,1000
HLAB50020101,92,92
HLAB500402,40,40
HLAB5005,3,3
HLAB5101,11445,1000
HLAB51020101,27,27
HLAB51050101,184,184
HLAB51060101,48,48
HLAB51080101,658,658
HLAB510901,39,39
HLAB5114,1,1
HLAB5121,2,2
HLAB5129,7,7
HLAB52010101,1427,1000
HLAB53010101,3805,1000
HLAB5302,8,8
HLAB54010101,1653,1000
HLAB55010101,3048,1000
HLAB55020101,1494,1000
HLAB5504,35,35
HLAB56010101,2802,1000
HLAB56040101,17,17
HLAB560501,18,18
HLAB57010101,20422,1000
HLAB5702,433,433
HLAB57030102,7241,1000
HLAB570401,30,30
HLAB58010101,9481,1000
HLAB58020102,672,672
HLAB5806,12,12
HLAB59010102,18,18
HLAB670101,48,48
HLAB7301,799,799
HLAB78010102,84,84
HLAB780202,47,47
HLAB81010101,1450,1000
HLAB82010101,48,48
HLAB8301,40,40
HLAC01020101,3534,1000
HLAC0117,8,8
HLAC0130,3,3
HLAC020201,6520,1000
HLAC0210,119,119
HLAC030201,3052,1000
HLAC03030101,12107,1000
HLAC03040101,12309,1000
HLAC03050101,1073,1000
HLAC03060101,271,271
HLAC03070101,30,30
HLAC03130102,1,1
HLAC03179,1,1
HLAC0381,7,7
HLAC0401,10424,1000
HLAC04030101,896,896
HLAC040601,1,1
HLAC0409,3,3
HLAC0501,8476,1000
HLAC050901,12,12
HLAC0535,1,1
HLAC06020101,9776,1000
HLAC06060101,474,474
HLAC0608,262,262
HLAC0617,6,6
HLAC0701,10411,1000
HLAC0702,7405,1000
HLAC07040101,6304,1000
HLAC0705,1,1
HLAC0710,1,1
HLAC07130101,1,1
HLAC07170101,6,6
HLAC07185,3,3
HLAC0722,2122,1000
HLAC07276,3,3
HLAC0746,1,1
HLAC0795,6,6
HLAC08010101,2076,1000
HLAC08020101,8881,1000
HLAC08030101,41,41
HLAC08040101,60,60
HLAC0813,6,6
HLAC1202,8044,1000
HLAC1203,14962,1000
HLAC120401,250,250
HLAC1212,5,5
HLAC14020101,6069,1000
HLAC14030101,3063,1000
HLAC1502,5605,1000
HLAC15040101,60,60
HLAC1505,299,299
HLAC15090101,277,277
HLAC16010101,6681,1000
HLAC16020101,22,22
HLAC1604,302,302
HLAC17010102,2120,1000
HLAC18010101,2,2
HLAE0101,110,110
HLAE0103,5,5
HLAG01010101,300,300
HLAG01030101,260,260
HLAG01040101,296,296
MAMUA1001010101,866,866
MAMUA100201,789,789
MAMUA1007010101,215,215
MAMUA1008010101,1,1
MAMUA101101,404,404
MAMUA102201,213,213
MAMUA1026010101,52,52
MAMUA200102,29,29
MAMUA201020101,30,30
MAMUA700103,21,21
MAMUA701030101,22,22
MAMUB00101,83,83
MAMUB00301,309,309
MAMUB00401,2,2
MAMUB00801,1147,1000
MAMUB01001,56,56
MAMUB01701,436,436
MAMUB01704,364,364
MAMUB022010101,148,148
MAMUB029010101,6,6
MAMUB03901,241,241
MAMUB05201,547,547
MAMUB06502,4,4
MAMUB06601,73,73
MAMUB08301,219,219
MAMUB08701,71,71
MAMUB090010101,71,71
PATRA0101,109,109
PATRA0301,61,61
PATRA0401,75,75
PATRA0402,1,1
PATRA06010101,1,1
PATRA0602,1,1
PATRA0701,134,134
PATRA0901,284,284
PATRA11010101,1,1
PATRB0101,190,190
PATRB0301,1,1
PATRB03020101,4,4
PATRB0401,2,2
PATRB05010101,2,2
PATRB0901,3,3
PATRB1301,134,134
PATRB160101,4,4
PATRB1602,1,1
PATRB1701,3,3
PATRB23010201,1,1
PATRB23020101,1,1
PATRB2401,85,85
PATRC06010101,2,2
SLA10101,1,1
SLA10401,152,152
SLA10701,14,14
SLA10702,29,29
SLA11201,1,1
SLA11301,39,39
SLA11402,3,3
SLA11502,1,1
SLA20401,60,60
SLA20502,2,2
SLA21104,16,16
SLA21201,1,1
SLA30301,1,1
SLA30401,32,32
